entry_date,origin_countries,target_countries,start_date,end_date,announced_date,budget_usd,fb_accounts,fb_pages,fb_pages_followers,fb_groups,fb_groups_followers,Events,ig_accounts,ig_followers,affiliation,keywords,description,source,url
11/07/2019,"UAE, Egypt","Libya, Sudan, Comoros, Qatar, Turkey, Lebanon, Syria, Jordan, Morocco",,,08/01/2019,"167,000",259,102,"13,700,000",5,"9,000",4,17,"65,000","New Waves in Egypt, and Newave in the UAE","News, Elections, Qatar, Turkey, Yemen, War, Libya, Saudi Arabia, Yemen, Somaliland, Independence","Local news, politics, elections and topics including alleged support of terrorist groups by Qatar and Turkey, Iran’s activity in Yemen, the conflict in Libya, successes of the Saudi-led coalition in Yemen, and independence for Somaliland",FB internal investigation,https://newsroom.fb.com/news/2019/08/cib-uae-egypt-saudi-arabia/
11/07/2019,Saudi Arabia,"Qatar, Saudi Arabia, UAE, Bahrain, Egypt, Morocco, Palestine, Lebanon, Jordan",,,08/01/2019,"108,000",217,144,"1,400,000",5,"26,000",,31,"145,000",KSA gvt,"MBS, Vision2030, Saudi Arabia, Military, Yemen, Qatar,  Turkey, Iran, Al-Jazeera, Amnesty International","MBS, Vision2030, successes of the Saudi Armed Forces, particularly during the conflict in Yemen. They also frequently shared criticism of neighboring countries including Iran, Qatar and Turkey, and called into question the credibility of Al-Jazeera news network and Amnesty International.",Bellingcat and FB internal investigation,https://newsroom.fb.com/news/2019/08/cib-uae-egypt-saudi-arabia/
11/07/2019,Thailand,"Thailand, USA",,,07/25/2019,"18,000",12,10,"38,000",0,0,,0,0,"New Eastern Outlook, a Russian government-funded journal based in Moscow","Thailand, USA, China, Hong Kong, Protests, Democracy","Thai politics, geopolitical issues like US-China relations, protests in Hong Kong, and criticism of democracy activists in Thailand.",,https://newsroom.fb.com/news/2019/07/removing-cib-thailand-russia-ukraine-honduras/
11/07/2019,Russia,Ukraine,,,07/25/2019,100,18,9,"80,000",3,10,,0,0,,"Ukraine, Russia","Ukrainian politics and news, including topics like Russia-Ukraine relations and criticism of the Ukrainian government.",Ukrainian fact-checking organization and FB internal investigation,https://newsroom.fb.com/news/2019/07/removing-cib-thailand-russia-ukraine-honduras/
11/07/2019,Russia,Ukraine,,,07/25/2019,400,83,2,"1,000",29,"35,000",,5,"1,400",,"Ukraine, War","Posed as military communities, posted on local and political news including topics like the military conflict in Eastern Ukraine, Ukrainian public figures and politics",Local law enforcement in Ukraine and FB internal investigation,https://newsroom.fb.com/news/2019/07/removing-cib-thailand-russia-ukraine-honduras/
11/07/2019,Honduras,Honduras,,,07/25/2019,"23,000",181,"1,488","120,000",0,0,,0,0,Honduras gvt,President,Positive content about the president,FB internal investigation,https://newsroom.fb.com/news/2019/07/removing-cib-thailand-russia-ukraine-honduras/
11/05/2019,Iran,Various,,,05/28/2019,,51,36,"21,000",7,"1,900",,3,"2,600","“Liberty Front Press,”","Public Figures, USA, UK, Secession, Islam, Arabs, Minorities, Iran, Saudi Arabia, Middle East","Public figures and politics in the US and UK, US secessionist movements, Islam, Arab minorities in Iran and the influence of Saudi Arabia in the Middle East.","FireEye, and internal investigation",https://newsroom.fb.com/news/2019/05/removing-more-cib-from-iran/
11/07/2019,Israel,"Nigeria, Senegal, Togo, Angola, Niger, Tunisia, Latin America, Southeast Asia",Dec-12,Apr-19,05/16/2019,"812,000",65,161,"2,800,000",23,"5,500",12,4,920,,"Elections, Candidates, Opposition","Elections in various countries, candidate views and criticism of political opponents",FB internal investigation,https://newsroom.fb.com/news/2019/05/removing-coordinated-inauthentic-behavior-from-israel/
11/10/2019,Russia,Ukraine,Mar-17,,05/06/2019,1,62,10,"34,000",25,"86,000",,0,0,,"Ukraine, Russia, Europe, Syria, War","Local and political news including topics like the military conflict in Eastern Ukraine, Russian politics, political news in Europe, politics in Ukraine and the Syrian civil war",FB internal investigation,https://newsroom.fb.com/news/2019/05/more-cib-from-russia/
11/10/2019,Russia,"Austria, Denmark, Estonia, Latvia, Finland, Germany, Lithuania, Poland, Sweden, Spain, Ukraine, the UK",,,05/06/2019,,16,4,"1,100",0,0,,1,800,,"Immigration, Religion, NATO","Local politics including topics like immigration, religious issues and NATO",FB internal investigation,https://newsroom.fb.com/news/2019/05/more-cib-from-russia/
11/10/2019,Indonesia,Indonesia,Oct-17,Mar-19,04/11/2019,4,78,34,"24,000",108,"1,300,000",,14,"5,600",,"Elections, Fraud, Candidates, Public Figures, Scandals","Local and political news including topics like upcoming elections, alleged election fraud, candidate views, and alleged misconduct of political figures",FB internal investigation,https://newsroom.fb.com/news/2019/01/taking-down-coordinated-inauthentic-behavior-in-indonesia/
