hashtags,count
mondaymotivation,198
RebootLiberty,198
China,197
Mosul,197
ArrestSoros,197
TrumpWon,197
NYPD,197
StopImportingMuslimscumbags,197
OctoberSurprise,196
WhatSanctuaryCitiesMeanToMe,196
islamIsTheProblem,196
politique,196
ElectionDay,196
WakeupAmericans,196
Terrorists,195
FLOTUS,195
BurkasOffBitches,194
USMC,194
world,193
UnitedShades,193
HillarysAmerica,192
BLMKidnapping,191
ObamaAmnesty,191
CNNDebate,191
TrumpArmy,191
BaltimoreUprising,191
BackTheBlue,191
MLKDay,191
ThingsToBeAshamedOf,191
obamaworstpresidentever,189
CAIRNational,189
LockThemUp,189
StepOutInBlue,189
TrumpIsRight,189
StopHillary2016,189
ProfileInCourage,188
winning,188
BoycottRacistSamsClub,188
AltRightMeans,188
SanBernadinoShooting,188
OReillyFactor,188
OperaFire,187
SpyingSusan,187
IslamIsNotPeaceFul,187
AmericanGods,187
LeftTheFloor,186
LockThemAllUp,186
McCuck,186
StopFundingJihadist,186
PublicEnemy,186
BanISLAM,185
PGA,185
KochFarms,185
LoseWithCruz,185
NotMyPresident,184
Canada,184
stopislam,184
Gorsuch,184
NBCNewsForum,183
BoycottFoxNews,183
guncontrol,183
FUIslam,183
BOYCOTTAmazon,183
Fresno,183
FFA,182
Complicit,182
Borderwall,182
cartoon,182
KremlinCohorts,182
USAF,182
NYR,181
LyinTed,181
Cincinnati,180
13Hours,180
ObamaCare,180
MoslemsArentVictims,180
Constitution,179
DumpKelloggs,179
BoycottDelta,178
TheScaryThingIs,177
shameful,177
ICYMI,177
Assad,177
BillClintonIsARapist,177
Istanbul,176
LREM,176
ResistanceRadio,176
Freedom,176
Resist,175
IslamIsNotCompatibleWithDemocracy,175
jihad,175
proudinfidel,175
ClintonCrimes,174
Trending,174
Manchester,174
banCAIR,173
Saudi,173
ResignObama,173
EasterSunday,173
SallyYatesIsAPatriot,173
ycot,172
Nazialmanya,171
gunsense,171
GA06,171
Snowflakes,171
IBDeditorials,169
ObamaWasTheWorstPresidentEver,169
idiots,169
Erdogan,169
ISISIsIslam,167
BanTheMoslemBrotherHood,167
Sessions,167
video,167
BuckinghamPalace,167
EasterMonday,166
Hillary4Prison2016,166
IslamicTerrorist,166
EasterEggRoll,166
banmosques,166
TGDN,166
TedKoppell,166
FUCKISLAM,166
refugeeswelcome,165
unacceptable,165
CorruptHillary,165
Welfare,165
NSA,165
SuperBowl,164
greta,164
TuckerCarlsonTonight,164
Pocahontas,164
NY,164
banNationOfIslam,164
GOPdebate,164
LGBT,163
ExtremelyCareless,163
TrumpTeachesHistory,163
IowaCaucus,163
4chan,163
HILLARY,163
ClintonCrimeFoundation,162
RadicalIslamicTerrorists,162
Egypt,162
DumpRyan,162
PatriotsFight,162
HillaryAccomplishments,161
WhiteHouse,161
StopIslamisation,161
FUMuslimscumbags,161
EyesWideOpen,161
USNavy,161
MayDaySea,161
Idiots,160
DOJ,160
Bergdahl,160
terrorists,160
Hamas,159
ISLAM,159
Christmas,159
AirForce,159
ThankYouTrump,159
MoslemsAreTheProblem,159
BENGHAZI,159
AndrewJacksonWouldHave,159
NeverSubmit,158
MediaLiesMatter,158
Yankees,158
HRCVideo,158
StandAgainstIslam,157
IslamicExtremism,157
DeportIslam,157
ExpelClifford,157
MarchForOurLives,157
NoMuslimRefugees,157
Jesus,156
Ohio,156
police,156
RuleofLaw,156
FullOfSchiff,156
WHCD,156
IRS,155
BenghaziCommittee,155
UnitedAirlines,155
truth,155
Hardball,155
QArmy,155
NoMoreMuslims,154
RadicalIslamicJihadist,154
TrumpProtest,154
